title,country_name,state_name,city_name,status,url,estimated_total_project_cost,final_total_project_cost,currency,estimated_completion_date,actual_completion_date,cost_overrun,time_delay,citations,project_id
North Macedonia Sustainability and Resilience DPO,"Macedonia, Republic of North",,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P180587,100000000.0,,USD,2024-06-30,N/A,,0,['https://projects.worldbank.org/en/projects-operations/project-detail/P180587'],P180587
"Boosting Green Finance, Investment and Trade in Rwanda",Republic of Rwanda,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P180196,125000000.0,,USD,2024-04-30,N/A,,0,"['https://thenationonlineng.net/national-single-window-to-drive-1tr-economy-fg/', 'https://www.ey.com/en_gl/insights/government-public-sector/six-ways-that-governments-can-drive-the-green-transition', 'https://www.weforum.org/stories/2021/10/climate-change-blended-finance-least-developed-countries/', 'https://onlinelibrary.wiley.com/doi/10.1155/2021/5515513', 'https://afripoli.org/the-road-to-africas-single-market-progress-so-far-and-challenges-for-the-future', 'https://esgnews.com/esg-japan/', 'https://www.orfonline.org/research/chinas-belt-and-road-initiative-in-the-energy-sector', 'https://www.cfr.org/report/chinas-belt-and-road-implications-for-the-united-states/findings', 'https://www.state.gov/reports/2024-investment-climate-statements/pakistan/', 'https://www.unhcr.org/africa/news/news-releases/unhcr-afdb-igad-and-eac-launch-project-enhance-investment-climate-refugee-and', 'https://www.ey.com/en_uk/insights/government-public-sector/six-ways-that-governments-can-drive-the-green-transition', 'https://dailypost.ng/2025/01/28/24-hr-port-operations-will-help-realisation-of-1-trillion-economy-by-2031-firs-chairman-others/', 'https://projects.worldbank.org/en/projects-operations/project-detail/P180196']",P180196
Indonesia Universal Health Coverage Development Policy Loan,Republic of Indonesia,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P500689,0.0,,USD,2024-12-24,N/A,,0,"['https://www.kff.org/global-health-policy/issue-brief/blended-finance-for-global-health-summary-of-a-policy-roundtable/', 'https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(23)00448-5/fulltext', 'https://www.thedailystar.net/opinion/budget-analysis-2024-25/news/real-growth-invest-more-education-and-health-3627656', 'https://projects.worldbank.org/en/projects-operations/project-detail/P500689']",P500689
Comoros First Fiscal Management and Resilient Growth (FIMARG) Development Policy Financing Series,Union of the Comoros,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P179763,20000000.0,,USD,2024-12-15,N/A,,0,['https://projects.worldbank.org/en/projects-operations/project-detail/P179763'],P179763
Togo's First Sustainable and Inclusive Development Policy Financing,Republic of Togo,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P179294,150000000.0,,USD,2024-10-20,N/A,,0,"['https://www.togofirst.com/en/investments/0404-9716-togo-world-bank-backs-government-s-pro-development-efforts-with-100-mln-financing', 'https://www.togofirst.com/en/economic-governance/2709-12610-world-bank-backs-togo-s-government-roadmap-and-food-security-with-two-new-financings-totaling-170m', 'https://www.togofirst.com/en/economic-governance/2712-9194-afdb-approves-togo-s-2021-2026-strategy-to-improve-social-inclusion-and-governance', 'https://projects.worldbank.org/en/projects-operations/project-detail/P179294']",P179294
Bhutan Second Green and Resilient Growth Development Policy Credit,Kingdom of Bhutan,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P178635,50000000.0,,USD,2024-06-30,N/A,,0,"['https://www.adb.org/news/features/qa-building-strong-foundations-prosperous-inclusive-and-climate-resilient-philippines', 'https://www.thedailystar.net/business/news/bangladesh-wb-sign-two-deals-worth-900-million-environment-sustainability-3782266', 'https://projects.worldbank.org/en/projects-operations/project-detail/P178635']",P178635
Romania Second Programmatic Inclusive and Green Growth Development Policy Loan,Romania,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P179297,650000000.0,,USD,2024-09-30,N/A,,0,['https://projects.worldbank.org/en/projects-operations/project-detail/P179297'],P179297
"Angola First Green, Resilient, Inclusive Growth and Diversification Development Policy Financing",Republic of Angola,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P179512,500000000.0,,USD,2024-06-30,N/A,,0,['https://projects.worldbank.org/en/projects-operations/project-detail/P179512'],P179512
First Low-Carbon Energy Programmatic Development Policy Loan,Republic of India,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P181032,1500000000.0,,USD,2023-12-31,N/A,,0,"['https://www.autocarpro.in/news/hero-motocorp-to-sell-100-units-of-special-collectors-item-motorbike-the-centennial-121248', 'https://ianslive.in/wb-approves-additional-15-billion-to-help-india-achieve-low-carbon-emission-reforms--20240629093605', 'https://projects.worldbank.org/en/projects-operations/project-detail/P181032']",P181032
Ukraine Relief and Recovery Development Policy Loan,Ukraine,,,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P181023,1500000000.0,,USD,2024-06-30,N/A,,0,"['https://blogs.worldbank.org/en/arabvoices/importance-budget-support-progress-sustainable-development', 'https://www.myjoyonline.com/300m-world-bank-facility-hits-bogs-account/', 'https://www.atlanticcouncil.org/in-depth-research-reports/report/reconstructing-ukraine-at-war-the-journey-to-prosperity-starts-now/', 'https://projects.worldbank.org/en/projects-operations/project-detail/P181023']",P181023
